,article
0,새 정부가 다양한 정책들을 추진하기 위한 검토 단계에 들어갔어요. 특히 이재명 대통령의 주요 공약들은 벌써부터 본격적인 준비에 착수했다고 해요. 대표적인 게 자영업자와 소상공인 등 취약계층의 빚을 탕감해 주거나 줄여주는 ‘배드뱅크(Bad bank)’ 설립이에요.
1,"배드뱅크 설립은 이 대통령이 선거 운동 내내 강조한 핵심 공약이었어요. 쉽게 말하면 사정이 어려워 빚을 갚기 힘든 자영업자들의 빚을 확 줄여주는 정책이에요. 코로나19 대유행을 거치며 많은 자영업자들이 큰 어려움을 겪었고, 이때부터 사실상 재기 불능에 빠진 이들을 정부가 지원한다는 게 이 정책의 취지예요."
2,연체율 상승에 비상이 걸린 카드사들이 공격적으로 부실채권 정리에 나서고 있다. 올해 1분기에만 벌써 1조원 가까이 매각했지만 연체율 상승세는 꺾이지 않고 있다. 부실채권을 많이 떨어내는 카드사 연체율이 더 빠르게 높아지는 이례적인 상황도 나타나고 있다. 채권을 처리하는 속도에 비해 연체율이 더 가파른 속도로 높아지고 있어서다.
3,19일 국회 정무위원회 소속 이정문 더불어민주당 의원실이 금융감독원에서 받은 자료에 따르면 8개 전업 카드사(신한·삼성·현대·KB국민·롯데·하나·우리·BC카드)가 올해 1분기에 매각한 부실채권 규모는 9505억원으로 집계됐다. 이는 전년 동기에 기록한 6915억원보다 약 38% 늘어난 수치다. 2021년(7749억원)과 2022년(6705억원)의 연간 매각액을 넘어서는 수준이다.
4,"카드사별로 살펴보면 롯데카드가 지난 1분기에 2798억원의 부실채권을 정리해 규모가 가장 컸다. 이는 전년 동기(1111억원) 대비 2배가 넘는다. 그 뒤를 이은 건 KB국민카드(2295억원)로 지난해 1분기 매각액(135억원)의 약 17배 규모를 정리하며 가장 큰 증가세를 보였다. 하나카드도 같은 기간 매각액이 69억원에서 926억원으로 크게 늘었다. 이외에 우리카드(1293억원), 신한카드(1095억원), 현대카드(676억원), 삼성카드(392억원), BC카드(30억원) 순으로 부실채권을 많이 매각했다."
5,카드사들이 정리하고 있는 부실채권은 매년 늘어나는 추세다. 그 규모가 1분기 기준 2022년까지 2000억원대였으나 이후 매년 가파르게 상승하고 있다. 특히 올해의 경우 현 추세대로라면 매각 규모가 지난해(3조3799억원) 수준을 넘길 것으로 보고 있다. 지난해에는 2023년(2조2374억원) 대비 51% 불어난 바 있다.
6,"카드사들이 부실채권 매각에 적극 나서는 데에는 고공비행 중인 연체율이 영향을 미쳤다. 서민의 대출 창구인 저축은행과 대부업 등이 영업을 줄이면서 카드론으로 중·저신용자 수요가 몰렸고, 가맹점 수수료 인하로 수익성이 악화한 카드사들이 카드론을 적극 취급했다. 하지만 저금리 시기를 지난 상황에서 경기 부진까지 장기화하면서 돈을 갚지 못하는 차주가 증가하자 연체율이 꾸준히 오르고 있다."
7,카드사들은 부실채권 매각을 통한 자산 건전성 관리에 나섰지만 연체율 상승세를 막지 못하고 있다. 최근 대선 정국에서 채무 탕감에 대한 공약이 나오면서 납부를 미루는 사람들이 늘면서 2분기에는 연체율이 더 오를 것이란 우울한 전망까지 나온다.
8,금융권에 따르면 각 카드사의 실질 연체율(대환대출 채권을 포함한 1개월 이상 연체율) 단순평균은 1분기 기준으로 2021년만 하더라도 1%대 초반이던 것이 올해는 1.93%로 올라섰다. 부실채권을 많이 매각했던 KB국민·하나·우리·BC카드는 이미 실질 연체율이 2%를 넘겼다.
9,"다만 절대 매각량이 늘면서 대출채권 매매이익은 증가하고 있다. 작년에는 6320억원으로 전년(5848억원) 대비 8% 증가했으나, 코로나19 전인 2021년(2230억원)에 비해서는 183% 늘었다."
10,카드사 관계자는 “카드론 취급을 늘린 상황에서 경기가 나쁘다 보니 연체하는 부실 차주 비율이 빠른 속도로 늘어나고 있다”고 설명했다. 이어 “경기 상황에 큰 변화가 있지 않는 한 연체율 증가 추세가 이어져 하반기에도 부실채권 매각 규모는 계속 늘어날 것으로 보인다”고 설명했다.
11,"자본시장 신뢰를 훼손하는 불공정거래를 막기 위해서는 신속한 조사와 처벌이 필요하며, 이를 위해 부처 간 중복 기능을 정비해야 한다는 지적이 나왔다."
12,"황현영 자본시장연구원 연구위원은 19일 매경미디어그룹 주최 ‘2025 매경 자본시장 대토론회’에서 금융감독원, 한국거래소, 금융위원회 등 여러 기관의 역할 중복으로 인한 비효율을 해소해야 한다고 강조했다."
13,불공정거래를 조사하고 처벌하는 과정에서 검찰에 과도한 권한이 집중돼 전문성을 가진 증권 유관기관이 온전한 역할을 발휘하지 못한다는 것이다.
