,title,img,link
0,2차 추경 '20조원' 푼다…,https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250619205514336.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250619205514336
1,생산자물가 두 달 연속 하락…농산물 '뚝',https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250620072723314.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250620072723314
2,"김병주 MBK 회장, 국회 찾아 사재 출연 거부 표명",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250620054048416.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250620054048416
3,"코스피, 나흘째 상승…추경에 '3천피' 가나",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250619210613916.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250619210613916
4,소상공인 113만명 '빚 탕감'…'배드뱅크' 설립,https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250619205656998.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250619205656998
5,"기초연금 부부감액 20%…""대체로 적정하지만 취약계층은 불리""",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/AKR/20250619/AKR20250620085005430_01_i.jpeg,https://www.yonhapnewstv.co.kr/news/AKR20250620085005430?srt=l&d=Y
6,"""모델하우스와 너무 달라""…아파트 소비자 상담 급증",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/AKR/20250619/AKR20250620083224700_01_i.jpg,https://www.yonhapnewstv.co.kr/news/AKR20250620083224700?srt=l&d=Y
7,"클릭도 안했는데 또 쿠팡으로?…방통위, '납치광고' 조사 착수",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/AKR/20250619/AKR20250620082952166_01_i.jpeg,https://www.yonhapnewstv.co.kr/news/AKR20250620082952166?srt=l&d=Y
8,"MSCI, 한국 증시 공매도 개선…""외국인 투자 여전히 제약""",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/AKR/20250619/AKR20250620082935917_01_i.jpg,https://www.yonhapnewstv.co.kr/news/AKR20250620082935917?srt=l&d=Y
9,"중소SO-CJ ENM, 상생발전 위한 업무 협약",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/AKR/20250619/AKR20250620082459122_01_i.jpg,https://www.yonhapnewstv.co.kr/news/AKR20250620082459122?srt=l&d=Y
10,"AI수석 하정우, '천만배우' 하정우 인지도 제쳤다",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/AKR/20250619/AKR20250620082139671_01_i.jpg,https://www.yonhapnewstv.co.kr/news/AKR20250620082139671?srt=l&d=Y
11,"""상반기 할인 막차타세요""…신세계·롯데 쇼핑 행사 가득",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/AKR/20250619/AKR20250620082024298_02_i.jpg,https://www.yonhapnewstv.co.kr/news/AKR20250620082024298?srt=l&d=Y
12,생산자물가 두 달 연속 하락…농산물 '뚝',https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250620072723314_P1.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250620072723314?srt=l&d=Y
13,5월 생산자물가 두 달 연속 하락…농산물 10.1% 내려,https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/AKR/20250619/AKR20250619171615132_01_i.jpg,https://www.yonhapnewstv.co.kr/news/AKR20250619171615132?srt=l&d=Y
14,"""장마철 특수 잡아라""…유통가, 여름 마케팅 돌입",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250620054304568_P1.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250620054304568?srt=l&d=Y
15,"김병주 MBK 회장, 국회 찾아 사재 출연 거부 표명",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250620054048416_P1.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250620054048416?srt=l&d=Y
16,"여름철 인기 '간편식 냉면'…""나트륨 과다 섭취 주의해야""",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250620053405131_P1.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250620053405131?srt=l&d=Y
17,"코스피, 나흘째 상승…추경에 '3천피' 가나",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250619210613916_P1.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250619210613916?srt=l&d=Y
18,소상공인 113만명 '빚 탕감'…'배드뱅크' 설립,https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250619205656998_P1.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250619205656998?srt=l&d=Y
19,"2차 추경 '20조원' 푼다…""4인가족 최대 200만원""",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250619205514336_P1.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250619205514336?srt=l&d=Y
20,여름 장마 본격화…운전자 안전 대처 요령은?,https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250619201444174_P1.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250619201444174?srt=l&d=Y
21,"토스뱅크서 20억원대 횡령 사고…""고객 피해 없어""",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250619200839455_P1.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250619200839455?srt=l&d=Y
22,"전공의 200여명 ""복귀 희망""…이번엔 진짜 돌아오나",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250619195957281_P1.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250619195957281?srt=l&d=Y
23,"""혼자 살아요"" 800만…맞벌이 가구는 4년만에 감소",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250619195826310_P1.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250619195826310?srt=l&d=Y
24,"금융위, DSR 규제 확대 고민…가상자산ETF 도입 마련",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250619195622883_P1.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250619195622883?srt=l&d=Y
